iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,t_opt,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,20.358142375946045,-4.003903859155464,6.849006330489701,76.88831687670154,-8.713777299751632,0.0,32.85348916053772,0.051545106,0.00029425777,-4.003903859155464,0.0,40000,3.530895233154297,0.9866237482188148,0.820168898093122,-4.538343030983202,0.0
1,15.732251644134521,-3.741395882901438,7.1318532573298095,64.89685730568517,-8.49735030695101,0.0,45.45978617668152,0.032287564,0.00028473345,-3.9776530615300616,0.0,40000,7.356362819671631,0.8770279598102532,0.7607533643936474,-3.3897573411391666,0.0
2,14.695204973220825,-2.573475379804486,9.985916549896487,73.61504356214131,-9.042572757391477,0.0,39.310492515563965,0.03795505,0.00029524905,-3.837235293357504,0.0,40000,19.320291996002197,0.8702694580899817,0.6700181029242557,-2.4348978572007365,0.0
3,14.019771337509155,-1.1092762317531781,35.73780122871112,492.3293442736032,-14.477900794687361,0.0,39.97306680679321,0.056974616,0.00020919819,-3.5644393871970714,0.0,40000,14.502899646759033,0.9344958316379264,0.7826194428248638,-3.7287182329290323,0.0
4,18.990655660629272,-1.6434987581995193,11.715343422514872,77.81202347913074,-10.09166763260227,0.0,50.87929391860962,0.034883182,0.00030027266,-3.3723453242973163,0.0,40000,19.190314769744873,1.4236914520897455,0.6823277598691515,-3.5984697816695235,0.0
5,14.038195133209229,-1.2751904199883108,13.932235916393045,134.28675494593534,-10.498293106216282,0.0,36.662434339523315,0.041618824,0.00030974954,-3.162629833866416,0.0,40000,13.451191902160645,0.7792862047313052,0.7212248172933556,-1.4342734331167364,0.0
6,14.14796233177185,1.7028883059054671,31.585952355055113,258.8954348555093,-11.014460641007913,0.0,63.73667097091675,0.043244127,0.00025096032,-2.6760780198892276,0.0,40000,16.244635581970215,0.8751563268188711,0.7550625758774576,-2.0268935601950684,0.0
7,16.699466705322266,0.778618217767729,28.589974752372836,355.9329412082175,-9.810256902940328,0.0,35.90725660324097,0.045648165,0.00029328384,-2.330608396123532,0.0,40000,10.893670558929443,0.909805875104295,0.7498079880073468,-3.570877067414693,0.0
8,15.558546304702759,5.9224422889365265,57.838426898378174,669.2683450182146,-12.407466535339426,1.0,48.59581136703491,0.0554497,0.00029201133,-1.5053033276175263,1.0,40000,12.427069187164307,0.8845066992981192,0.7935905083813765,-3.0426441416797076,0.0
9,13.785295248031616,-0.7191039755112726,19.928999788526824,242.2994926196294,-12.958023946450888,0.0,35.60197186470032,0.033795662,0.00028606452,-1.426683392406901,0.0,40000,13.026458263397217,0.7302057019000219,0.4632036336432572,-3.0810589401910558,0.0
