iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,15.543102264404297,-1.4763699570814577,11.31110214969943,68.45586516003355,-9.226878240968508,0.0,141.35689819905798,0.05,0.2713773250579834,7.934273958206177,0.025290404,0.03725968,-1.4763699570814577,0.0,40000,2.1891558170318604,1.0004044111905601,0.8146852384464316,-3.912187836097608,0.0
1,19.74143958091736,-3.1023631310503355,8.814314400696718,62.276469269671196,-7.085576629646061,0.0,137.76207322624975,0.05,0.15239572525024414,2.357410430908203,0.025525836,0.03763141,-1.6389692744783455,0.0,40000,7.4132280349731445,0.917321488315087,0.7852810171701924,-3.960102243384185,0.0
2,15.629814147949219,-1.846092071136468,10.225332177379503,84.25441019143977,-12.30749390647814,0.0,135.3902463694541,0.05,0.13666105270385742,3.1766228675842285,0.02481193,0.038669523,-1.6596815541441576,0.0,40000,11.774219989776611,0.8738526892269115,0.7734406058828717,-2.1777288213115282,0.0
3,18.652166843414307,3.5006805349432186,59.02648636550299,807.2511165000974,-11.722092578127535,0.5,156.7722190298132,0.05,0.11239361763000488,2.6826322078704834,0.024988247,0.03598138,-1.14364534523542,0.5,40000,9.741113185882568,0.9615627717018257,0.8691401383995077,-1.7834512326022354,0.0
4,15.804656267166138,-2.0689203211321483,10.575528369789925,61.38107323248145,-11.108165457963791,0.0,131.0644844864452,0.05,0.09328651428222656,2.0567946434020996,0.02533562,0.037582632,-1.2361728428250929,0.0,40000,11.095037698745728,2.908164255677166,0.7082430266922408,-1.2541700994288387,0.0
5,14.334922790527344,-1.862722145033754,12.633380381109307,91.3355848950615,-10.881596832984519,0.0,140.3913649908396,0.05,0.0822153091430664,2.976613998413086,0.024706997,0.035670936,-1.2988277730459592,0.0,40000,8.681782245635986,0.773397439946701,0.7267195662517019,-0.2366053001418105,0.0
6,10.120956420898438,0.4212296462947049,21.978856169687052,193.13276049140302,-10.716449895425717,0.0,131.60075038156242,0.05,0.07564330101013184,1.5781660079956055,0.025151141,0.053284127,-1.1268220311118928,0.0,40000,10.509739637374878,0.792625805835074,0.72282744447166,0.35421886951163545,0.0
7,9.999353647232056,-1.7173079292205664,15.044064983651179,151.06650407101375,-10.688307107322794,0.0,128.00703774316568,0.05,0.08381986618041992,1.6398472785949707,0.025272306,0.0449453,-1.1858706209227603,0.0,40000,5.79934024810791,1.0246187103846143,0.7459588672656919,-1.8572612430981488,0.0
8,10.21141505241394,1.9496916440018728,39.283201279629964,492.32714943916733,-8.958326624623616,0.0,146.6873385971943,0.05,0.0764315128326416,1.7239837646484375,0.025850555,0.057950232,-0.872314394430297,0.0,40000,9.450249671936035,0.8623744259739095,0.6239357511922351,-0.016093899129865898,0.0
9,10.206993579864502,0.17314435892699748,19.15799216346542,192.85059303566595,-13.549534475344263,0.0,146.5681803340828,0.05,0.0883948802947998,1.5716595649719238,0.025107455,0.033577763,-0.7677685190945676,0.0,40000,6.261743545532227,1.3183551700029499,0.6904355226448401,-1.8063105902639136,0.0
10,10.026997804641724,3.162415733422324,57.449924951188976,790.3732481148833,-7.818340627655433,0.5,115.31942715794084,0.05,0.08640503883361816,1.6055066585540771,0.023825161,0.07293765,-0.37475009384287844,0.5,40000,6.904857158660889,0.9091519170030818,0.5596151719619455,4.533385893122031,0.0
11,9.852691888809204,-0.9405095427302345,17.289100110189363,190.20548516300147,-10.90034565647082,0.0,152.86429915204855,0.05,0.09176158905029297,1.6563258171081543,0.025093468,0.03226198,-0.43132603873161407,0.0,40000,7.522783041000366,2.14573465366369,0.8183618964063372,-3.361540643626356,0.0
12,11.853888988494873,3.907603124216987,43.80397815729117,551.8761740115852,-11.81331998956143,0.5,150.95913561947438,0.05,0.10460615158081055,1.7038614749908447,0.025774915,0.039417297,0.002566877563246084,0.5,40000,6.660946369171143,0.8836581486405598,0.6578876190774543,-4.223530294102788,0.0
13,11.051060676574707,0.11635326825749129,16.88732919259263,93.72322288650177,-12.298165385753773,0.0,136.81427913566841,0.05,0.08073878288269043,1.5881974697113037,0.025327582,0.03671063,0.013945516632670605,0.0,40000,6.516165733337402,1.4454569416147864,0.6922427076856512,6.504703479313146,0.0
14,9.996699810028076,0.5540274613878953,26.530516385604894,303.1524198703907,-11.780846517168492,0.0,121.33198361808311,0.05,0.07629156112670898,1.6204614639282227,0.025307162,0.05970611,0.06795371110819308,0.0,40000,9.742668390274048,0.8907480938488531,0.8278068861130283,-0.7854671224602306,0.0
15,13.54122281074524,5.7530610092754975,75.73935972958365,1047.8921045790225,-12.582016586898966,0.5,156.61340698266144,0.05,0.13822078704833984,2.5191829204559326,0.026465634,0.03876845,0.6364644409249235,0.5,40000,7.027520179748535,0.918680023244751,0.7731882226889676,0.3124998265566665,0.0
16,12.259702682495117,1.7292058188221315,30.706636936935826,313.47444037087985,-12.335013106034628,0.0,136.76761553139457,0.05,0.21560382843017578,2.099360466003418,0.024724029,0.033329137,0.7457385787146443,0.0,40000,6.9234278202056885,1.1594433119901932,0.8143982257943186,2.484806142573469,0.0
17,10.696385145187378,4.850999647260811,46.31674869824634,412.3060392915833,-10.912652079949417,0.5,142.79380510436047,0.05,0.08336019515991211,1.5799009799957275,0.025032217,0.04576583,1.156264685569261,0.5,40000,5.41454815864563,0.9017856711977806,0.8576241302078276,-0.8950092186003232,0.0
18,11.228723526000977,2.9200813205899636,34.23884555105855,354.72721621851025,-11.15971553721693,0.0,143.1561970213928,0.05,0.11789345741271973,1.5844619274139404,0.024716374,0.042290896,1.3326463490713314,0.0,40000,4.707611560821533,0.8405819588077983,0.750810707559499,12.487278534202641,0.0
19,10.509584426879883,0.9161424548579572,19.738508720079235,183.57416271666898,-11.31047939234616,0.0,138.5656381449054,0.05,0.09591436386108398,1.6065118312835693,0.024633652,0.039110348,1.290995959649994,0.0,40000,4.937906503677368,0.8651613496550634,0.707478086078275,-0.29044341121861655,0.0
20,10.103585004806519,-0.007702257849284173,19.037728926133568,196.16151696669698,-13.93363548505307,0.0,133.73163893371537,0.05,0.1068572998046875,1.6586017608642578,0.025113026,0.035448242,1.1611261379000661,0.0,40000,5.840495824813843,0.8481728677831295,0.7750168406828559,1.2971584190269618,0.0
21,10.52375078201294,3.8005603356017734,32.61520136654689,318.19347524386546,-13.223505767181225,0.0,141.02338999360134,0.05,0.09093904495239258,1.5592734813690186,0.024992,0.038592584,1.4250695576702368,0.0,40000,5.900137901306152,0.7164947719143517,0.5354894597171116,8.130267059272494,0.0
22,10.601855754852295,10.732925955812025,80.67508834287793,1016.8144053336079,-11.534666252551341,0.5,145.76657659778965,0.05,0.07914519309997559,1.580033540725708,0.025173834,0.05182642,2.3558551974844155,0.5,40000,6.523479461669922,0.8655857470102735,0.7203572309743312,1.6029324217524905,0.0
