iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,t_opt,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,19.264064073562622,-2.7831329101033795,7.5033871251009545,51.394615456943654,-11.869631789082275,0.0,37.10148787498474,0.04470521,0.0002510777,-2.7831329101033795,0.0,40000,3.7551825046539307,0.9943973976566707,0.8109464959103887,-4.097298312277473,0.0
1,16.13202166557312,-3.63650380515568,4.823699939959443,38.85934146246809,-7.496135620798572,0.0,48.91078567504883,0.024365941,0.0002563664,-2.86846999960861,0.0,40000,14.942949056625366,0.8852767883549334,0.6521919751736848,-3.1083917274144834,0.0
2,15.573397636413574,-2.5030258631819082,8.923633192786875,88.05982239710042,-9.31869921794705,0.0,26.145663499832153,0.032890633,0.00035353,-2.83192558596594,0.0,40000,16.048070907592773,0.9308728827908572,0.8478663775446035,-0.2863961657645123,0.0
3,13.69819688796997,-3.1066800872872635,8.248724611717053,66.76015690712293,-10.043246888696435,0.0,27.002503871917725,0.039947823,0.00027524628,-2.859401036098072,0.0,40000,20.880013704299927,0.7878859774869915,0.5859403751411684,-1.4494122997928356,0.0
4,14.847840547561646,-1.2288475435475548,9.830068380872966,56.332984654360295,-11.170552196567096,0.0,47.040767431259155,0.035944488,0.0002785611,-2.6963456868430207,0.0,40000,9.317121267318726,0.7855348648168972,0.6715048839175093,1.5560521004018755,0.0
5,13.599596738815308,-0.5718723326399026,16.90087699712129,209.9722174962535,-9.908555463737855,0.0,50.242433309555054,0.04240073,0.0002440477,-2.483898351422709,0.0,40000,7.1077821254730225,0.9481061199376062,0.7339225485405232,-2.422729033721989,0.0
6,13.394063711166382,2.501664617653119,32.345368952718694,343.50417397411104,-11.060876085367985,0.0,52.13078713417053,0.054062508,0.00033277817,-1.9853420545151264,0.0,40000,13.059800624847412,0.9318393438753413,0.8039078358114741,-2.7487014488901353,0.0
7,13.497883558273315,1.0520179574460757,14.115808024779518,91.74791190488935,-10.508713160137464,0.0,67.83805322647095,0.039953545,0.00033122514,-1.681606053319006,0.0,40000,10.539308547973633,1.3020655538481485,0.6471971859242786,1.3044543233789256,0.0
8,13.354743957519531,3.760572087120371,29.31216127008456,266.9252412751545,-12.48922515712896,0.0,36.13167929649353,0.03494154,0.0002534517,-1.1373882392750685,0.0,40000,12.897647619247437,0.8419758624686466,0.7646282552281222,-1.0252298986787034,0.0
9,13.218376398086548,4.823719614135849,34.01027815444756,372.65465525560415,-13.5770815903169,0.0,33.84134888648987,0.03800111,0.00029247208,-0.5412774539339767,0.0,40000,20.626655340194702,0.7802310027206095,0.6371592672487357,8.672193934728941,0.0
10,13.493626356124878,3.756849151861459,29.05072344366723,339.179406211565,-15.251364170772318,0.5,48.38304543495178,0.036593832,0.00029128414,-0.11146479335443321,0.5,40000,14.61389708518982,0.7335701841410553,0.6552491009110316,5.095730296155398,0.0
11,13.426065683364868,8.884788377118406,52.4131045996552,529.326161468215,-10.762793920228706,1.0,53.578431844711304,0.04434899,0.00032250522,0.7881605236928507,1.0,40000,6.934512615203857,0.8325150084343331,0.7264498146947167,32.12728659065849,4.0
12,13.693227529525757,8.355568607661446,57.00357257937022,751.4295356748187,-10.541587639414702,0.5,36.576178550720215,0.04719259,0.0003876404,1.5449013320897103,0.5,40000,8.91109848022461,0.9031990660330488,0.7619126870158504,1.270788091470591,0.0
13,13.57791781425476,12.105113383846613,68.02437458069117,792.0073808571883,-11.5169218548354,0.5,37.94235157966614,0.04187337,0.00030282885,2.600922537265401,0.5,40000,7.998212814331055,0.8257884278438276,0.7151634504827669,6.1878850481536425,0.0
14,14.197432041168213,5.9501427148434916,35.0208321015574,293.7058829689926,-12.3925107865173,0.0,49.289077043533325,0.037658308,0.00031751767,2.93584455502321,0.0,40000,18.260220766067505,0.7546881266257561,0.6164710063070853,12.93427081435145,0.0
15,13.63741660118103,16.481285577906018,98.14938342171214,1242.6756195577066,-13.2229690455763,0.5,65.89806032180786,0.05136114,0.0003058156,4.290388657311491,0.5,40000,11.667760848999023,0.8712212994840258,0.6541265888763327,35.73027222475378,0.0
16,14.112494468688965,12.395774224438028,36.7557800797955,276.2703074348115,-14.363044620938874,0.0,34.580459117889404,0.041383814,0.0003155798,5.100927214024145,0.0,40000,9.825597524642944,1.7785064279527194,0.697670719444554,27.089423513433356,4.0
17,15.003519058227539,7.111488824711407,33.62608718385306,342.9015095240636,-13.123453846633124,0.5,28.35029435157776,0.028284356,0.0002816819,5.30198337509287,0.5,40000,9.12638783454895,0.8020235736417176,0.6167338541284059,45.93736685491288,8.0
18,14.271710395812988,22.750648198858855,115.96175593653547,1161.7671256923356,-16.08633097981253,1.0,41.66506814956665,0.049415037,0.00021202708,7.04684985746947,1.0,40000,13.672922372817993,0.9244750503885784,0.6896470828274831,0.4671019346188461,0.0
19,13.55976128578186,12.81373310699173,63.27631165239351,550.7231345021279,-13.970579848478982,1.5,42.68592071533203,0.036301553,0.0002911873,7.623538182421696,1.5,40000,13.409215688705444,0.7818683212378158,0.596339299940469,12.387730445693878,0.0
20,14.922802925109863,21.34449143324673,84.13037391501291,710.5634586821307,-15.412016156029646,2.0,58.752978801727295,0.045433886,0.00030329853,8.9956335075042,2.0,40000,12.176773309707642,0.735370880817126,0.6624334148346074,43.613571336509146,4.0
21,15.1016526222229,19.101911808090232,61.752251438004784,649.5852550746022,-15.155195824829027,1.0,56.65456771850586,0.04110687,0.00030493317,10.006261337562805,1.0,40000,7.497175455093384,0.7177562739206722,0.5795766587846555,21.50833087085799,0.0
22,13.8699049949646,34.812745335233096,97.81158958148445,734.1435986841587,-10.174406722512739,2.0,26.890301942825317,0.03511554,0.00026698966,12.486909737329835,2.0,40000,14.770954847335815,0.7514567866347474,0.5943878021227388,15.25971425957652,0.0
23,13.428869009017944,25.163357541217795,69.24052164266934,636.1055693850393,-13.655962629716212,0.5,62.531750440597534,0.034714043,0.00029468487,13.754554517718631,0.5,40000,9.24634575843811,0.7718424890208266,0.5965324538256821,13.184648257073766,0.0
24,13.755056142807007,27.28460178684854,87.44160151437356,787.3157707719478,-13.392220146215678,1.5,40.023311614990234,0.033889398,0.00031156023,15.107559244631622,1.5,40000,11.951083183288574,0.7467022404831437,0.6187155641245512,8.890237092176141,0.0
25,14.038607597351074,37.42667742451985,113.89331271718123,907.925436398266,-15.49582518688179,2.0,72.86732363700867,0.03266618,0.00031445443,17.339471062620447,2.0,40000,11.00536847114563,0.658901681890285,0.5434206139511653,14.830056307491068,0.0
26,13.698009014129639,35.53750831296907,96.01347710645963,636.7281888465238,-16.14818696817195,2.5,40.19967222213745,0.036889836,0.0003259403,19.15927478765531,2.5,40000,6.769686222076416,0.7185006576313833,0.5358984388402813,7.143952382645755,0.0
27,14.27585768699646,44.83911999884917,112.22642620087315,901.3980339290149,-14.463608886158328,3.5,46.32509899139404,0.038406417,0.00026937053,21.727259308774695,3.5,40000,11.162652969360352,0.6848099257814453,0.5639191562578414,-0.8795950173070755,0.0
28,14.972808599472046,46.93976750593743,121.71793101815638,665.8143393569784,-11.238505649185608,4.5,64.6306402683258,0.033013284,0.00029306012,24.24851012849097,4.5,40000,18.183825492858887,0.6052555370508733,0.4724577437324537,15.548303614652088,0.0
29,14.662720918655396,66.54509692859985,152.89218531708252,1255.6517656805527,-14.20809873276776,4.0,35.50251054763794,0.040345825,0.00032234404,28.47816880850186,4.0,40000,11.329716920852661,0.6498497133758302,0.48604424084767645,5.894307169630187,0.0
30,14.52060580253601,53.914811850583,135.43882770767047,1018.4351703529767,-13.979628922428144,2.0,44.81699800491333,0.037020564,0.00031073243,31.021833112709974,2.0,40000,16.554039239883423,0.625138490748904,0.49026889840026044,12.196042775655455,0.0
31,14.571294784545898,75.83983390991729,163.18221320606546,887.0758426023037,-17.465631767194164,6.5,52.4676399230957,0.038028747,0.00029860367,35.503633192430705,6.5,40000,54.200279235839844,0.6081346086810074,0.44639830098624883,5.951158240519723,0.0
32,14.045448541641235,83.49423321755475,157.78658361390515,1315.0324795831177,-13.104170426053603,5.0,38.509923458099365,0.034955688,0.00030889057,40.30269319494311,5.0,40000,7.576634645462036,0.5953895027475548,0.4774821520606106,8.927598588430499,0.0
33,13.285952091217041,85.68384659459949,209.068129877442,1705.239184943261,-15.983257657633777,4.5,28.483886241912842,0.03804911,0.00030241467,44.84080853490875,4.5,40000,12.753650188446045,0.6369266350859062,0.46785499540604486,22.23196660125544,0.0
34,12.305750131607056,86.87444372629741,183.2676599226368,1353.2015823830154,-13.754790684289608,5.0,53.74248909950256,0.035184663,0.00032799068,49.04417205404762,5.0,40000,17.690417528152466,0.5972308161429508,0.4754964704447392,4.653175951077307,0.0
35,12.195534229278564,121.8799978382379,249.15944230260715,2005.8257267677814,-13.14019402166534,8.5,32.87746238708496,0.03800448,0.00031316275,56.32775463246665,8.5,40000,5.700330972671509,0.5044059609172216,0.40167293388402653,19.77456641256094,0.0
36,12.36452579498291,119.02285001026452,248.16013064456328,1541.633501733794,-14.355209078308908,9.5,46.06458353996277,0.037525017,0.00030789804,62.59726417024643,9.5,40000,5.52109694480896,0.6673866430104989,0.5412669179269195,21.108806808059963,0.0
37,12.490505456924438,105.62653950596722,208.44685486015774,1688.736268123435,-11.383064203492571,8.5,29.239852905273438,0.033776518,0.0002897889,66.9001917038185,8.5,40000,5.957653760910034,0.5980114017851764,0.47258926970651366,29.190969685775762,0.0
38,12.501195669174194,119.76550788043413,240.44219628394785,1587.7025802479093,-15.786367017142654,10.5,37.108529567718506,0.037306137,0.00029572836,72.18672332148007,10.5,40000,5.824373006820679,0.5793318101030771,0.4720873018010505,21.350147288210323,0.0
39,12.300177097320557,143.0125038644902,271.27928696044927,1727.7893017668673,-10.58747833697114,12.5,39.84307026863098,0.03569271,0.00030902762,79.2693013757811,12.5,40000,8.381478786468506,0.5576471058084138,0.4921140679548226,80.1370655657688,8.0
40,12.600967407226562,182.98942724477718,320.76930801208795,1991.730375476581,-14.719909626758604,18.0,24.534204483032227,0.031640664,0.00030815828,89.6413139626807,18.0,40000,14.608090877532959,0.567418551286897,0.4619486361521956,90.46991393209927,8.0
